R0,VE,coverage,chance50,chance95
6,0.9,0.3,2198.62999999989,9156.81433333345
7,0.9,0.3,1548.97499999998,6738.65100000007
8,0.9,0.3,1311.11333333328,5555.35600000017
9,0.9,0.3,1139.3666666667,4969.08733333318
10,0.9,0.3,952.389999999898,4132.51133333333
5,0.5,0.4,50.6249999999709,222.914333333385
6,0.5,0.4,34.8716666666587,150.742666666672
7,0.5,0.4,28.1916666666693,120.846833333289
8,0.5,0.4,21.8999999999651,97.0041666666657
9,0.5,0.4,17.1866666667629,74.7679999999876
10,0.5,0.4,16.5133333333361,71.8650000000489
5,0.6,0.4,83.8033333333442,360.341333333313
6,0.6,0.4,66.1533333333209,281.518666666667
7,0.6,0.4,47.8566666666884,214.418166666728
8,0.6,0.4,42.6750000000466,184.66250000005
9,0.6,0.4,35.9066666666186,157.228666666651
10,0.6,0.4,26.8233333332901,117.663500000025
5,0.7,0.4,199.46166666667,851.666666666646
6,0.7,0.4,134.990000000049,562.203000000067
7,0.7,0.4,109.561666666647,473.980833333306
8,0.7,0.4,83.5066666665953,364.765333333379
9,0.7,0.4,69.3783333332394,299.789333333226
10,0.7,0.4,53.4333333333489,230.820666666643
5,0.8,0.4,657.809999999998,2787.86399999999
6,0.8,0.4,425.986666666577,1828.18733333321
7,0.8,0.4,332.246666666673,1438.05399999999
8,0.8,0.4,208.400000000023,914.642166666675
9,0.8,0.4,200.680000000168,859.262000000011
10,0.8,0.4,182.323333333246,793.252333333389
5,0.9,0.4,3537.51666666637,14785.8004999999
6,0.9,0.4,2340.74666666638,10140.0548333328
7,0.9,0.4,1823.15333333332,7552.05600000024
8,0.9,0.4,1768.0466666664,7883.79733333336
9,0.9,0.4,1329.80000000005,5578.66516666682
10,0.9,0.4,1643.37666666694,6998.8200000003
5,0.5,0.5,55.3216666666849,236.561666666716
6,0.5,0.5,36.0800000000163,155.331833333357
7,0.5,0.5,28.5533333333442,121.000000000058
8,0.5,0.5,23.3283333333384,102.968500000017
9,0.5,0.5,17.8433333333232,77.691500000024
10,0.5,0.5,16.7066666666797,72.0906666666677
5,0.6,0.5,87.4666666666744,375.563999999939
6,0.6,0.5,67.6999999999825,296.113000000105
7,0.6,0.5,52.973333333357,221.736999999959
8,0.6,0.5,44.593333333265,191.374999999919
9,0.6,0.5,38.6233333335258,169.32999999997
10,0.6,0.5,28.093333333265,122.407333333345
5,0.7,0.5,211.883333333302,926.745333333266
6,0.7,0.5,146.166666666628,646.7308333333
7,0.7,0.5,106.046666666662,456.886666666786
8,0.7,0.5,91.3666666666686,404.915333333402
9,0.7,0.5,73.9850000000297,329.027333333314
10,0.7,0.5,57.6366666666581,243.294000000003
5,0.8,0.5,794.351666666626,3430.53000000006
6,0.8,0.5,512.430000000168,2147.07966666669
7,0.8,0.5,370.636666666484,1572.24200000009
8,0.8,0.5,232.75,1013.10866666669
9,0.8,0.5,219.253333333414,961.493333333358
10,0.8,0.5,201.296666666865,870.0196666667
5,0.9,0.5,4259.55333333346,18961.0875
6,0.9,0.5,3070.30000000005,14101.1
7,0.9,0.5,2075.8666666667,8807.05333333323
8,0.9,0.5,2236.98333333334,9221.57133333385
9,0.9,0.5,1495.0299999998,6313.29733333327
10,0.9,0.5,1843.063333333,7427.30400000016
5,0.5,0.6,54.9683333333815,236.209000000078
6,0.5,0.6,37.3299999999581,166.469
7,0.5,0.6,30.0766666666605,132.109999999998
8,0.5,0.6,24.9749999999622,107.715000000022
9,0.5,0.6,18.5600000000559,79.3933333333422
10,0.5,0.6,17.7766666666867,77.8098333333502
5,0.6,0.6,101.82666666666,432.669666666642
6,0.6,0.6,72.1416666666628,317.685500000149
7,0.6,0.6,54.6966666666558,235.763
8,0.6,0.6,47.0766666666605,204.693333333323
9,0.6,0.6,40.8466666666791,175.986999999976
10,0.6,0.6,29.6300000000047,129.620000000054
5,0.7,0.6,222.970000000088,966.377666666708
6,0.7,0.6,162.693333333315,714.047499999979
7,0.7,0.6,119.751666666667,522.279500000028
8,0.7,0.6,98.7200000000012,435.804166666698
9,0.7,0.6,79.4933333334047,340.671333333361
10,0.7,0.6,64.0800000000745,274.852166666684
5,0.8,0.6,893.326666666668,3806.63166666671
6,0.8,0.6,591.333333333489,2608.99166666658
7,0.8,0.6,426.300000000047,1888.99799999995
8,0.8,0.6,256.113333333284,1119.29016666684
9,0.8,0.6,240.063333333237,1038.48699999993
10,0.8,0.6,224.319999999949,973.919333333289
5,0.9,0.6,4630.55333333369,20298.2713333335
6,0.9,0.6,4004.69666666654,17809.5810000008
7,0.9,0.6,2270.70666666655,9246.40466666659
8,0.9,0.6,2697.92333333334,11685.9213333336
9,0.9,0.6,1934.76833333334,8983.36749999993
10,0.9,0.6,2299.71666666633,10113.4399999998
5,0.5,0.7,60.4566666666651,267.12266666666
6,0.5,0.7,39.8166666666366,167.198500000034
7,0.5,0.7,32.3400000000111,140.181333333315
8,0.5,0.7,26.2966666666616,113.816833333339
9,0.5,0.7,19.3866666666581,85.9616666666116
10,0.5,0.7,18.6300000000047,80.7053333333344
5,0.6,0.7,100.976666666684,444.016666666721
6,0.6,0.7,81.769999999975,355.523833333335
7,0.6,0.7,58.8566666666884,256.724666666647
8,0.6,0.7,51.5633333333535,222.225999999978
9,0.6,0.7,43.3933333333407,187.300666666635
10,0.6,0.7,31.9033333333209,138.629333333331
5,0.7,0.7,268.221666666679,1159.39116666668
6,0.7,0.7,185.681666666671,809.996333333343
7,0.7,0.7,147.883333333317,644.543333333335
8,0.7,0.7,114.783333333209,481.382000000018
9,0.7,0.7,89.0666666666512,387.35866666669
10,0.7,0.7,69.4300000000512,301.719000000009
5,0.8,0.7,1079.33666666644,4546.37000000011
6,0.8,0.7,758.139999999665,3289.44766666668
7,0.8,0.7,528.873333333293,2345.84499999997
8,0.8,0.7,310.363333333749,1364.34999999998
9,0.8,0.7,298.853333333391,1316.17799999998
10,0.8,0.7,252.296666666633,1120.72466666661
5,0.9,0.7,6352.58000000007,28800.1580000001
6,0.9,0.7,4225.52000000002,17875.0989999998
7,0.9,0.7,2881.99000000022,12412.8016666668
8,0.9,0.7,3093.50000000023,13519.7438333328
9,0.9,0.7,2344.89666666649,10082.3633333332
10,0.9,0.7,2134.4916666667,9406.26966666675
5,0.5,0.8,64.5683333333363,280.056666666673
6,0.5,0.8,43.2233333333206,183.869833333316
7,0.5,0.8,33.9666666666744,149.238666666695
8,0.5,0.8,27.4383333333681,119.110833333308
9,0.5,0.8,20.8666666666977,89.4660000000149
